contamination,method,n,positives,threshold,accuracy,precision,recall,f1,fpr,fnr,brier,ece,tp,fp,tn,fn,auroc,auprc,entities,raw_spearman,weighted_spearman,raw_kendall,weighted_kendall,raw_topk_overlap,weighted_topk_overlap,raw_mean_rank_error,weighted_mean_rank_error,raw_ndcg,weighted_ndcg
0.1,multi_evidence_logistic,18233,2049,0.9,0.9506937969615532,0.900976290097629,0.6305514885309907,0.7418891759977031,0.008774097874443896,0.36944851146900926,0.08397397707782048,0.1550336414792639,1292,142,16042,757,0.9540593237553397,0.8522625209121659,2000,0.9962087332527081,0.9965571001453993,0.9838083679229422,0.9742201029316923,0.71,0.84,15.0915,18.339,0.999601262209412,0.9997115573026485
0.2,no_filter,20223,4039,0.5,0.8002769124264452,0.0,0.0,0.0,0.0,1.0,0.19972308757355486,0.19972308757355486,0,0,16184,4039,0.5,0.19972308757355486,2000,0.9943116102707522,0.9948270976745212,0.9803176117865623,0.9807705991743515,0.68,0.74,18.5085,15.5115,0.999492074883634,0.9995654042289299
0.2,simple_rule,20223,4039,0.5,0.8582307273896059,0.9991482112436116,0.2904184204010894,0.4500287742183004,6.178942165101334e-05,0.7095815795989107,0.1417692726103941,0.14176927261039413,1173,1,16183,2866,0.6451783154897192,0.4318908692187583,2000,0.9943116102707522,0.9948270976745212,0.9803176117865623,0.9807705991743515,0.68,0.74,18.5085,15.5115,0.999492074883634,0.9995654042289299
0.2,behavior_only,20223,4039,0.5,0.8002769124264452,0.0,0.0,0.0,0.0,1.0,0.17050758724749454,0.21614107528227466,0,0,16184,4039,0.5736440717585841,0.5925879366762316,2000,0.9943116102707522,0.9948270976745212,0.9803176117865623,0.9807705991743515,0.68,0.74,18.5085,15.5115,0.999492074883634,0.9995654042289299
0.2,content_only,20223,4039,0.5,0.8395885872521387,1.0,0.19683089873731122,0.3289201489449731,0.0,0.8031691012626888,0.16980557689276263,0.20134237485143194,795,0,16184,3244,0.5178950670899413,0.3572423114851726,2000,0.9943116102707522,0.9948270976745212,0.9803176117865623,0.9807705991743515,0.68,0.74,18.5085,15.5115,0.999492074883634,0.9995654042289299
0.2,rule_fusion,20223,4039,0.5,0.805023982594076,0.9615384615384616,0.02475860361475613,0.048274197441467534,0.00024715768660405336,0.9752413963852439,0.12350254852895029,0.11804010707006964,100,4,16180,3939,0.8893040598847348,0.7573260087199983,2000,0.9943116102707522,0.9948270976745212,0.9803176117865623,0.9807705991743515,0.68,0.74,18.5085,15.5115,0.999492074883634,0.9995654042289299
0.2,multi_evidence_logistic,20223,4039,0.9,0.9195964990357514,0.9801034619976124,0.6098044070314435,0.7518315018315018,0.003089471082550667,0.39019559296855655,0.05835005344282012,0.08996331483009877,2463,50,16134,1576,0.9700649604321289,0.9252879228646679,2000,0.9943116102707522,0.9948270976745212,0.9803176117865623,0.9807705991743515,0.68,0.74,18.5085,15.5115,0.999492074883634,0.9995654042289299
0.3,no_filter,22184,6000,0.5,0.7295347998557519,0.0,0.0,0.0,0.0,1.0,0.27046520014424813,0.27046520014424813,0,0,16184,6000,0.5,0.27046520014424813,2000,0.9937373229171513,0.9937443308181831,0.978220901261545,0.9812507811997612,0.66,0.7,20.4565,15.2275,0.9994550716070314,0.9995037499054823
0.3,simple_rule,22184,6000,0.5,0.8067075369635773,0.9994165694282381,0.2855,0.4441275602800104,6.178942165101334e-05,0.7145,0.19329246303642264,0.19329246303642264,1713,1,16183,4287,0.6427191052891744,0.4785808160748273,2000,0.9937373229171513,0.9937443308181831,0.978220901261545,0.9812507811997612,0.66,0.7,20.4565,15.2275,0.9994550716070314,0.9995037499054823
0.3,behavior_only,22184,6000,0.5,0.7295347998557519,0.0,0.0,0.0,0.0,1.0,0.2603006056364334,0.42466713952213603,0,0,16184,6000,0.3358756951309936,0.3791123058529753,2000,0.9937373229171513,0.9937443308181831,0.978220901261545,0.9812507811997612,0.66,0.7,20.4565,15.2275,0.9994550716070314,0.9995037499054823
0.3,content_only,22184,6000,0.5,0.7833573746844573,1.0,0.199,0.33194328607172646,0.0,0.801,0.22571322074436193,0.2575679607713585,1194,0,16184,4806,0.5191970773603559,0.41564262531554275,2000,0.9937373229171513,0.9937443308181831,0.978220901261545,0.9812507811997612,0.66,0.7,20.4565,15.2275,0.9994550716070314,0.9995037499054823
0.3,rule_fusion,22184,6000,0.5,0.7335917778579156,0.9591836734693877,0.015666666666666666,0.03082978025582158,0.00024715768660405336,0.9843333333333333,0.1712837967259842,0.10185510787274851,94,4,16180,5906,0.7840256889520514,0.6945492739414583,2000,0.9937373229171513,0.9937443308181831,0.978220901261545,0.9812507811997612,0.66,0.7,20.4565,15.2275,0.9994550716070314,0.9995037499054823
0.3,multi_evidence_logistic,22184,6000,0.9,0.8911377569419401,0.9923098049986268,0.6021666666666666,0.7495073125194482,0.0017301038062283738,0.3978333333333333,0.055045687434837565,0.05017454241886544,3613,28,16156,2387,0.975408963585434,0.9492221922770738,2000,0.9937373229171513,0.9937443308181831,0.978220901261545,0.9812507811997612,0.66,0.7,20.4565,15.2275,0.9994550716070314,0.9995037499054823
