year,genre,avg_rating,albums_count,ratings_count,critic_score,user_score,score_gap,ai_sensitivity,collection_date,source,is_synthetic,provenance_status
2021,Electronic,6.56,321,20294,71.7,6.4,0.45,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Electronic,6.68,333,20964,80.6,7.0,0.03,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Electronic,6.45,301,21609,87.4,6.5,0.49,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Electronic,7.0,339,21820,75.1,6.8,0.56,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Electronic,6.48,306,22539,73.7,7.0,0.62,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Electronic,6.9,352,22844,83.4,7.4,0.72,0.7,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Hip-Hop,6.77,244,14816,76.3,7.1,0.02,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Hip-Hop,7.28,270,15551,74.5,6.9,0.55,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Hip-Hop,7.44,258,16051,73.1,6.5,0.6,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Hip-Hop,7.52,259,16435,69.7,6.9,0.89,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Hip-Hop,7.17,269,17013,77.2,7.2,0.41,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Hip-Hop,7.02,264,17376,74.0,7.4,0.73,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Hip-Hop,7.55,252,18128,78.2,6.8,0.2,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Hip-Hop,7.01,289,18545,80.8,7.2,0.19,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Hip-Hop,7.09,304,18997,72.0,7.2,0.03,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Hip-Hop,7.44,303,19618,80.3,7.1,0.57,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Hip-Hop,7.08,293,19839,80.0,6.7,0.46,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Hip-Hop,7.44,308,20625,75.1,7.4,0.76,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Hip-Hop,7.25,286,21057,83.0,6.9,0.53,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Hip-Hop,7.3,334,21483,75.4,7.1,0.67,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Hip-Hop,6.49,308,22071,77.0,7.0,0.75,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Hip-Hop,6.7,303,22357,75.8,6.8,0.55,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Hip-Hop,7.16,335,22879,69.8,7.1,0.5,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Jazz,7.06,259,14682,81.8,7.0,0.25,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Jazz,6.82,266,15414,83.6,6.6,0.62,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Jazz,6.69,270,15798,69.7,6.8,0.63,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Jazz,6.94,268,16778,67.6,7.3,0.4,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Jazz,7.33,250,16964,85.4,7.0,0.55,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Jazz,7.32,271,17551,70.8,6.5,0.12,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Jazz,6.66,279,18027,73.0,6.9,0.56,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Jazz,7.19,300,18474,88.0,7.1,0.93,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Jazz,7.03,319,19008,77.2,6.7,0.7,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Jazz,7.33,259,19433,79.7,6.5,0.4,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Jazz,6.4,321,19836,67.5,6.1,0.34,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Jazz,7.73,320,20579,73.5,7.0,0.47,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Jazz,7.24,311,20841,83.1,6.7,0.23,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Jazz,7.36,293,21455,74.8,7.0,1.01,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Jazz,6.85,277,21908,79.8,6.2,0.31,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Jazz,6.45,346,22565,73.3,7.0,0.24,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Jazz,7.17,321,22993,84.3,6.9,0.45,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Pop,6.77,269,15000,70.6,7.0,0.6,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Pop,7.02,238,15377,71.7,7.2,0.56,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Pop,6.57,270,15992,76.8,6.3,0.15,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Pop,6.91,286,16590,70.8,7.1,0.98,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Pop,6.63,259,17099,66.7,6.6,0.37,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Pop,6.84,290,17521,77.7,7.2,0.63,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Pop,6.49,242,18069,77.2,6.8,0.12,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Pop,7.21,246,18547,75.2,7.1,0.31,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Pop,7.14,285,19069,62.9,7.5,1.26,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Pop,6.88,299,19406,69.4,7.2,0.66,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Pop,6.55,289,19823,66.3,7.0,0.38,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Pop,7.55,283,20227,76.6,6.7,0.55,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Pop,7.36,306,21111,73.3,7.0,0.01,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Pop,6.38,343,21607,73.7,6.7,0.24,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Pop,7.12,299,21904,74.2,6.8,0.88,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Pop,7.05,341,22526,70.0,6.7,0.73,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Pop,6.79,303,22883,67.7,6.8,0.97,0.9,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Metal,6.93,227,14752,70.4,7.2,0.43,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Metal,7.19,275,15503,67.2,7.2,0.39,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Metal,6.69,248,15900,70.4,7.4,0.58,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Metal,7.23,228,16581,77.7,6.9,0.58,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Metal,7.05,253,16814,80.0,7.4,0.19,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Metal,6.44,281,17611,75.1,6.9,0.2,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Metal,7.61,297,18127,81.2,7.2,0.72,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Metal,7.19,296,18598,76.3,7.4,0.5,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Metal,7.06,300,18819,75.2,6.9,0.18,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Metal,6.95,256,19415,66.1,7.0,0.8,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Metal,7.32,323,20045,76.7,7.1,0.89,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Metal,7.33,301,20508,71.9,7.1,0.38,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Metal,7.07,291,21178,69.2,6.4,0.06,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Metal,6.95,309,21607,75.8,7.4,0.22,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Metal,6.83,343,21775,83.0,6.8,1.13,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Metal,6.95,337,22455,89.7,7.2,0.35,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Metal,7.23,365,22854,75.2,6.9,0.66,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Rock,7.13,242,14904,74.7,7.0,0.29,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Rock,7.25,239,15489,76.4,6.7,0.72,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Rock,7.02,260,15905,74.5,7.0,0.57,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Rock,7.28,235,16426,62.5,6.5,0.25,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Rock,6.83,252,16853,71.6,6.7,0.64,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Rock,6.54,270,17611,71.9,7.6,0.43,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Rock,6.62,268,17861,77.8,6.8,0.8,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Rock,7.35,307,18512,65.6,6.9,0.24,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Rock,7.04,305,18996,77.1,6.9,0.52,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Rock,7.0,335,19830,77.9,6.7,0.47,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Rock,7.28,276,19926,81.0,7.1,0.39,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Rock,7.1,318,20333,69.2,6.8,0.91,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Rock,6.85,316,21134,75.7,6.7,0.47,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Rock,6.91,280,21309,73.0,7.0,0.76,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Rock,6.63,332,22069,75.7,7.1,0.12,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Rock,6.99,334,22111,75.2,6.8,0.43,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Rock,7.19,370,23109,75.3,7.2,0.61,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Folk,7.04,246,14944,78.2,7.0,0.6,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Folk,7.2,262,15381,66.7,6.7,0.19,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Folk,7.02,249,15918,76.6,7.1,0.68,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Folk,6.37,303,16405,80.2,7.4,0.56,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Folk,6.85,292,16979,78.4,6.7,0.79,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Folk,7.21,281,17397,77.7,6.7,0.63,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Folk,6.63,294,17993,82.4,7.0,0.62,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Folk,7.04,289,18381,80.7,6.8,0.48,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Folk,6.68,306,18828,69.4,6.9,0.02,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Folk,6.73,275,19548,82.2,7.1,0.45,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Folk,7.13,288,20067,67.3,7.2,0.42,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Folk,6.82,305,20277,79.9,7.4,0.84,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Folk,7.18,271,20938,68.2,6.8,0.89,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Folk,7.21,328,21496,74.6,7.0,0.89,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Folk,6.85,322,21674,70.4,6.9,0.49,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Folk,6.87,344,22320,69.6,6.9,0.34,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Folk,7.37,324,22889,73.7,7.0,1.06,0.3,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,R&B,6.3,236,15094,77.4,6.9,0.81,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,R&B,7.31,235,15482,75.0,7.4,0.24,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,R&B,6.57,246,15921,70.1,6.7,1.24,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,R&B,7.54,210,16537,74.4,6.7,0.47,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,R&B,6.52,273,16910,68.4,7.3,0.26,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,R&B,7.19,299,17358,82.7,7.3,0.42,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,R&B,7.23,265,17870,82.4,6.7,0.1,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,R&B,6.85,267,18668,71.4,6.7,1.18,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,R&B,7.09,295,19196,61.7,6.6,0.04,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,R&B,6.33,272,19608,77.1,7.2,0.23,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,R&B,7.16,291,20031,72.3,6.7,0.14,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,R&B,7.03,300,20313,78.1,7.5,0.88,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,R&B,6.7,303,20972,72.9,6.5,0.45,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,R&B,6.44,312,21484,69.6,6.7,0.82,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,R&B,6.9,292,22099,77.2,6.8,0.58,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,R&B,6.88,330,22454,70.1,6.9,0.41,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,R&B,7.4,333,23112,63.1,7.1,0.61,0.6,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Classical,7.08,242,14955,75.8,6.9,0.38,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Classical,6.36,257,15375,75.3,6.4,0.68,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Classical,7.23,263,16039,61.1,6.9,0.15,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Classical,7.24,283,16426,74.0,7.1,0.05,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Classical,7.36,252,16954,76.1,7.3,0.59,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Classical,6.52,254,17440,79.4,7.1,0.62,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Classical,7.56,251,18175,71.0,7.1,0.63,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Classical,6.84,275,18652,78.6,7.6,0.64,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Classical,6.89,318,18960,79.6,6.5,0.76,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Classical,6.89,268,19586,79.1,7.1,0.02,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Classical,6.99,316,20017,82.4,7.4,0.36,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Classical,6.9,299,20456,69.6,7.1,0.23,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Classical,6.8,316,20835,84.3,7.2,0.45,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Classical,7.14,274,21211,77.9,7.0,0.73,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Classical,6.97,303,22050,80.7,7.4,0.27,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Classical,7.64,322,22448,73.4,7.1,0.95,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Classical,7.02,339,22873,78.1,6.9,0.25,0.2,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Experimental,6.74,250,15003,60.2,6.6,0.84,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Experimental,6.8,224,15395,76.5,7.7,0.95,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Experimental,6.91,259,16132,73.0,7.4,0.47,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Experimental,7.69,271,16561,71.4,6.7,0.64,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Experimental,7.3,270,16985,66.2,7.0,0.84,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Experimental,7.0,263,17825,83.5,7.1,0.67,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Experimental,7.03,293,17858,68.1,7.1,0.55,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Experimental,6.82,263,18583,69.5,7.1,0.15,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Experimental,7.21,287,18891,76.7,6.9,0.65,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Experimental,6.37,308,19405,77.7,7.3,0.1,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Experimental,6.5,300,20046,74.1,6.9,0.82,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Experimental,7.36,305,20528,69.2,7.6,0.21,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Experimental,7.22,333,20921,74.5,7.4,0.43,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Experimental,6.39,318,21341,69.9,6.8,0.47,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Experimental,6.51,330,21844,72.8,6.8,0.62,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Experimental,6.68,343,22394,65.6,6.9,0.51,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Experimental,7.03,324,22864,78.6,6.3,0.68,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Punk,7.36,251,14802,66.9,6.3,0.78,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Punk,6.7,251,15655,71.4,7.1,0.64,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Punk,7.1,288,16087,80.7,7.4,0.07,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Punk,6.91,263,16620,73.1,7.1,0.42,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Punk,6.99,265,17151,71.2,7.2,0.51,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Punk,7.23,260,17657,83.0,7.1,0.82,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2016,Punk,6.63,286,17825,80.4,6.5,0.79,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2017,Punk,7.0,286,18641,72.7,7.2,0.05,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2018,Punk,7.02,290,18959,72.5,7.4,0.66,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2019,Punk,6.88,296,19592,86.9,6.7,0.47,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2020,Punk,7.54,296,19909,74.6,6.5,0.54,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2021,Punk,7.14,320,20543,71.4,6.9,0.05,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2022,Punk,6.69,313,20690,72.3,7.1,0.46,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2023,Punk,7.2,302,21609,67.6,7.1,0.42,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2024,Punk,7.65,305,22058,75.0,7.5,0.42,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2025,Punk,7.02,308,22650,77.0,6.9,0.26,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2026,Punk,6.98,362,22836,79.0,6.5,0.36,0.4,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2010,Ambient,7.58,221,15131,75.4,7.0,0.47,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2011,Ambient,6.99,256,15481,68.2,6.9,0.25,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2012,Ambient,7.03,241,16144,78.4,6.8,0.33,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2013,Ambient,7.09,256,16571,71.7,6.8,0.83,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2014,Ambient,7.19,276,17046,69.1,6.8,0.31,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
2015,Ambient,6.68,272,17282,70.4,7.8,0.36,0.5,2026-08-08T00:56:44.307745,synthetic,True,illustrative_synthetic
